method,mse_threshold,peak_shift_threshold_nm,yield_threshold,nominal_valid,robust_valid,num_targets,nominal_valid_rate,robust_valid_rate
Baseline CVAE,0.005,10.0,0.5,27,21,50,0.54,0.42
Teacher replay,0.005,10.0,0.5,20,16,50,0.4,0.32
Hybrid workflow,0.005,10.0,0.5,26,21,50,0.52,0.42
Baseline CVAE,0.005,10.0,0.7,27,19,50,0.54,0.38
Teacher replay,0.005,10.0,0.7,20,13,50,0.4,0.26
Hybrid workflow,0.005,10.0,0.7,26,15,50,0.52,0.3
Baseline CVAE,0.005,20.0,0.5,35,24,50,0.7,0.48
Teacher replay,0.005,20.0,0.5,33,24,50,0.66,0.48
Hybrid workflow,0.005,20.0,0.5,44,30,50,0.88,0.6
Baseline CVAE,0.005,20.0,0.7,35,19,50,0.7,0.38
Teacher replay,0.005,20.0,0.7,33,14,50,0.66,0.28
Hybrid workflow,0.005,20.0,0.7,44,16,50,0.88,0.32
Baseline CVAE,0.005,30.0,0.5,36,24,50,0.72,0.48
Teacher replay,0.005,30.0,0.5,34,24,50,0.68,0.48
Hybrid workflow,0.005,30.0,0.5,44,30,50,0.88,0.6
Baseline CVAE,0.005,30.0,0.7,36,19,50,0.72,0.38
Teacher replay,0.005,30.0,0.7,34,14,50,0.68,0.28
Hybrid workflow,0.005,30.0,0.7,44,16,50,0.88,0.32
Baseline CVAE,0.01,10.0,0.5,27,21,50,0.54,0.42
Teacher replay,0.01,10.0,0.5,20,16,50,0.4,0.32
Hybrid workflow,0.01,10.0,0.5,26,21,50,0.52,0.42
Baseline CVAE,0.01,10.0,0.7,27,19,50,0.54,0.38
Teacher replay,0.01,10.0,0.7,20,13,50,0.4,0.26
Hybrid workflow,0.01,10.0,0.7,26,15,50,0.52,0.3
Baseline CVAE,0.01,20.0,0.5,35,24,50,0.7,0.48
Teacher replay,0.01,20.0,0.5,33,24,50,0.66,0.48
Hybrid workflow,0.01,20.0,0.5,46,32,50,0.92,0.64
Baseline CVAE,0.01,20.0,0.7,35,19,50,0.7,0.38
Teacher replay,0.01,20.0,0.7,33,14,50,0.66,0.28
Hybrid workflow,0.01,20.0,0.7,46,17,50,0.92,0.34
Baseline CVAE,0.01,30.0,0.5,36,24,50,0.72,0.48
Teacher replay,0.01,30.0,0.5,34,24,50,0.68,0.48
Hybrid workflow,0.01,30.0,0.5,46,32,50,0.92,0.64
Baseline CVAE,0.01,30.0,0.7,36,19,50,0.72,0.38
Teacher replay,0.01,30.0,0.7,34,14,50,0.68,0.28
Hybrid workflow,0.01,30.0,0.7,46,17,50,0.92,0.34
Baseline CVAE,0.02,10.0,0.5,27,21,50,0.54,0.42
Teacher replay,0.02,10.0,0.5,20,16,50,0.4,0.32
Hybrid workflow,0.02,10.0,0.5,26,21,50,0.52,0.42
Baseline CVAE,0.02,10.0,0.7,27,19,50,0.54,0.38
Teacher replay,0.02,10.0,0.7,20,13,50,0.4,0.26
Hybrid workflow,0.02,10.0,0.7,26,15,50,0.52,0.3
Baseline CVAE,0.02,20.0,0.5,35,24,50,0.7,0.48
Teacher replay,0.02,20.0,0.5,33,24,50,0.66,0.48
Hybrid workflow,0.02,20.0,0.5,46,32,50,0.92,0.64
Baseline CVAE,0.02,20.0,0.7,35,19,50,0.7,0.38
Teacher replay,0.02,20.0,0.7,33,14,50,0.66,0.28
Hybrid workflow,0.02,20.0,0.7,46,17,50,0.92,0.34
Baseline CVAE,0.02,30.0,0.5,36,24,50,0.72,0.48
Teacher replay,0.02,30.0,0.5,34,24,50,0.68,0.48
Hybrid workflow,0.02,30.0,0.5,46,32,50,0.92,0.64
Baseline CVAE,0.02,30.0,0.7,36,19,50,0.72,0.38
Teacher replay,0.02,30.0,0.7,34,14,50,0.68,0.28
Hybrid workflow,0.02,30.0,0.7,46,17,50,0.92,0.34
