method,target_index,calls,elapsed_seconds,d_H,d_L,N,L_c,mse,mae,max_abs_error,correlation,spectral_overlap,target_peak_count,pred_peak_count,missing_peak_count,false_peak_count,mean_peak_shift,mean_peak_transmission_error,mean_fwhm_error,mean_q_error,nominal_valid,objective,objective_score,optimizer_best_score,success,message
de,9282,81,20.666943073272705,209.06820394398136,910.1496357682878,8,2701.052764457454,0.0007141386759409997,0.007061274452448288,0.21467960253357887,0.7531699515042292,0.7701949678072654,2,1,1,0,26.02587890625,0.04760371893644333,17.839647718231898,46.651672114478615,False,physics_score,0.013316726566566,0.013316726566566,False,Maximum number of iterations has been exceeded.
de,10142,81,20.08594512939453,155.97006150676572,1144.815332340805,9,2366.971945465078,0.002642384468288767,0.023533815516287356,0.23079196363687515,0.8899424911128064,0.9187277164790999,6,5,1,0,16.016064453125,0.04627608358860016,43.64741628951019,39.1917690103754,False,physics_score,0.014243990913601267,0.014243990913601267,False,Maximum number of iterations has been exceeded.
de,11738,81,17.61896300315857,413.21731632617013,453.4833774376658,3,3808.146746750507,0.015549324233071623,0.07193303417503558,0.5718012191355228,0.8917021232918927,0.9259667450776515,4,5,2,3,40.0400390625,0.08971366286277771,186.05761957829688,57.84776760441578,False,physics_score,0.05455332813932162,0.05455332813932162,False,Maximum number of iterations has been exceeded.
de,12620,81,18.241140842437744,222.51976895200283,811.3066299561419,4,4895.783406982857,0.0005884985083536628,0.0050250417993655625,0.17400355797144584,0.3549599703107597,0.3881035163294076,1,0,1,0,nan,nan,nan,nan,False,physics_score,0.015588498508353664,0.015588498508353664,False,Maximum number of iterations has been exceeded.
de,20823,81,17.390926122665405,160.09958005917082,993.6805907693634,4,4689.865357271319,0.0007002561340314127,0.007111775237905842,0.19247008487582207,0.8989081864968462,0.907891235500703,2,2,0,0,24.0240478515625,0.08427802845835686,10.601185237977457,30.72222558572229,False,physics_score,0.0031026609191876628,0.0031026609191876628,False,Maximum number of iterations has been exceeded.
de,22254,81,17.82656693458557,136.6712321028994,1000.235492107396,5,604.0760552627044,0.0004989698130419742,0.004878797640072923,0.1544267050921917,0.7334050704824812,0.7483140856087865,1,1,0,0,32.031982421875,0.08511169254779816,8.691848362318431,14.295537407340625,False,physics_score,0.0037021680552294742,0.0037021680552294742,False,Maximum number of iterations has been exceeded.
de,29774,81,16.705142736434937,165.0034779416328,1102.6881990891868,4,3179.62924956201,0.0020608867593126324,0.021119741098479267,0.28066678196591965,0.934845246876305,0.9466446913418084,2,2,1,1,6.006103515625,0.08030512928962708,27.022608298037916,28.433116125953866,False,physics_score,0.017661497110875134,0.017661497110875134,False,Maximum number of iterations has been exceeded.
de,29958,81,20.736427068710327,153.40280063420812,688.8523709278959,6,2552.835766098907,0.008739096399897834,0.034701525273651036,0.43250975012779236,0.7917034953667526,0.8188761331477398,3,1,2,0,36.0361328125,0.04210495948791504,64.0022557686102,52.605646487212326,False,physics_score,0.03234270968114784,0.03234270968114784,False,Maximum number of iterations has been exceeded.
de,30639,81,17.49752402305603,249.12588061908968,961.1877677383022,4,1690.8601863123656,0.008472446289151586,0.040392528191980914,0.4047313556075096,0.8931528456775933,0.9093555805085185,2,1,1,0,4.004150390625,0.13788634538650513,70.83078769183791,20.35501143741576,False,physics_score,0.01887286132821409,0.01887286132821409,False,Maximum number of iterations has been exceeded.
de,35587,81,19.178609132766724,762.1940096073101,948.5933757496625,6,2714.0245319192686,0.01184338871891888,0.05028180587348992,0.5142381535843015,0.7884065986569474,0.8427968660324024,4,8,0,4,11.0111083984375,0.0946030393242836,16.595499715598812,55.40331282270104,False,physics_score,0.032944499558762635,0.032944499558762635,False,Maximum number of iterations has been exceeded.
