method,target_index,calls,elapsed_seconds,d_H,d_L,N,L_c,mse,mae,max_abs_error,correlation,spectral_overlap,target_peak_count,pred_peak_count,missing_peak_count,false_peak_count,mean_peak_shift,mean_peak_transmission_error,mean_fwhm_error,mean_q_error,optimizer_best_mse,success,message
random,9282,240,56.93386435508728,319.764646081053,552.0452265763819,7,1992.8257454049674,0.0003685885858821208,0.005199818958743263,0.12004036527650896,0.8468283245982682,0.8549663362272566,2,1,1,0,4.00390625,0.050833672285079956,7.7929692607273715,26.091262418525602,0.00036858857492916286,,
random,10142,240,55.882806062698364,165.5312840939705,1139.0520859013204,8,1120.077271037096,0.002949652837767571,0.025316163849667554,0.2161627784371376,0.9047871047766204,0.9302875520008078,6,3,4,1,8.008056640625,0.03862801194190979,13.173462073738607,35.98413758950346,0.0029496527276933193,,
random,11738,240,57.232845067977905,108.64274976587635,1213.8481773850901,5,1086.2876630496219,0.020519026449565415,0.0762718054846414,0.573494158837093,0.8913254051281326,0.92274703883575,4,3,2,1,32.031982421875,0.17214712500572205,31.336378869952352,34.51094876279602,0.02051902562379837,,
random,12620,240,56.35367798805237,235.34734945635606,808.7620228384028,5,3913.587956278352,0.0005761444984451605,0.005056760939973149,0.16759564448148012,0.3410643562691415,0.3622042648799057,1,0,1,0,nan,nan,nan,nan,0.0005761444917879999,,
random,20823,240,57.19715189933777,133.5263391663688,1030.840304311185,8,4665.306837228084,0.0010838042201062284,0.010168378144260217,0.1471920982003212,0.954168282547932,0.9589216678881107,2,2,0,0,13.012939453125,0.11741064488887787,11.486097945658134,15.46309547350327,0.0010838042944669724,,
random,22254,240,57.32728672027588,273.343649442839,673.5407773742486,4,3838.0425857108935,0.00022024145993101605,0.003691220753158154,0.1046906565898098,0.34124882970606274,0.3810997813113236,1,0,1,0,nan,nan,nan,nan,0.00022024146164767444,,
random,29774,240,59.35928392410278,303.1259259075629,835.3585456422937,8,4011.746291598464,0.00390926298363423,0.029604575428215353,0.2806972265240219,0.7643112656980385,0.8084091214272193,2,3,1,2,2.001953125,0.16170796751976013,6.884519688471194,10.087753840467101,0.003909262828528881,,
random,29958,240,56.054895877838135,190.17119432327087,567.0922465062737,7,4782.421149417267,0.017643992306122194,0.06100117351686878,0.6342483460903168,0.5774163349097889,0.6461326732378266,3,3,1,1,17.016845703125,0.2009090632200241,56.23723342055894,200.94047378304307,0.017643991857767105,,
random,30639,240,58.844043016433716,198.9742073087337,1100.576599033842,3,3207.077012138845,0.0013515295967330612,0.016378065236813653,0.20540522504597902,0.9753665477915062,0.9806036723333178,2,2,1,1,16.01611328125,0.02254849672317505,48.281601553494994,10.898508030458608,0.001351529615931213,,
random,35587,240,57.8594970703125,323.5566901984497,799.2132973095387,7,1338.2105663443335,0.002790622832323044,0.023985572236580408,0.2555754390050424,0.9346821225298008,0.950175211726559,4,7,0,3,29.02899169921875,0.0822007255628705,24.728308596683906,82.33063619651954,0.002790622878819704,,
random,37910,240,56.88029623031616,116.80666609895168,1099.4665419589219,5,3984.940378766177,0.0049752135712198085,0.0230135205133965,0.3297916203737259,0.6209555904421779,0.6632045940829264,2,1,2,1,nan,nan,nan,nan,0.004975213203579187,,
random,41308,240,58.77506923675537,290.9317180336826,767.2202485037725,8,4464.049305403601,0.0033994540971135187,0.0235845891405178,0.23925536166815142,0.7584085915902496,0.7909373575514581,4,2,3,1,32.031982421875,0.11913877725601196,47.19060690885246,55.252966234024,0.003399454290047288,,
random,45390,240,58.8178071975708,273.93889992848233,823.8552776098865,4,3057.217829520651,0.00135509548683156,0.013684310470816051,0.22097712096001487,0.9041755239147437,0.9139520441969943,2,1,1,0,12.011962890625,0.01661500334739685,3.2533990317571124,1.7906208345651535,0.001355095417238772,,
random,45790,240,57.64902591705322,297.0010178557266,784.6638470223434,8,3810.2233193927354,0.0024696512185218684,0.018035781066696305,0.2143551930785179,0.6980321540838982,0.7317076516470367,1,3,1,3,nan,nan,nan,nan,0.0024696511682122946,,
random,61214,240,56.7181339263916,138.8625423650057,802.2173083904427,7,2509.488775232481,0.005495483506057241,0.024647486884624047,0.6157798664353322,0.9069230612495799,0.9147726445679467,2,1,1,0,32.0322265625,0.14998018741607666,15.903677827617798,7.563983971960894,0.00549548352137208,,
random,65291,240,58.159345865249634,349.3199328804854,464.1866801181459,7,1062.7991208024487,0.004787290304219976,0.02960437219756517,0.469181894994117,0.8888240049756297,0.898783568414543,1,2,1,2,nan,nan,nan,nan,0.0047872900031507015,,
random,66458,240,56.79421782493591,283.37944956219616,321.72179108105456,7,2239.129428180305,0.02085203789037021,0.06431919931149825,0.5044891834259033,0.7921217500983544,0.8299679393520196,1,2,0,1,16.015625,0.0179101824760437,51.18393314683158,42.80511885530169,0.020852036774158478,,
random,68880,240,55.27799987792969,248.0621286457714,874.3707082161828,6,3260.050433757364,0.0040402870510329965,0.02394109563546088,0.338965055705188,0.6152046288731409,0.662236817261641,2,2,2,2,nan,nan,nan,nan,0.004040287341922522,,
random,86277,240,58.129781007766724,294.88052214874966,669.658524545434,3,946.5726918027032,0.004355210089326016,0.028313504197516524,0.2843371480703354,0.7052261277912157,0.7190499726877103,2,1,1,0,34.033935546875,0.0051451027393341064,30.132078792656785,65.87040833453617,0.004355210345238447,,
random,94464,240,56.41050601005554,290.5700947191624,610.5913840110072,4,1510.3059298488474,0.002259631612449886,0.0149857377090445,0.35385862001223245,-0.03445483948140967,0.07520298514117801,2,0,2,0,nan,nan,nan,nan,0.002259631874039769,,
